数据名,仓库相对路径,源URL,字节数,SHA256,字段,年份,时间粒度,许可证,核验状态,用途,缺口
EAGLE-I county outage panel (target y),data/interim/panel_2024-09-27.npz,https://doi.org/10.13139/OLCF/2500278,564594,3859a4e6d11698dd24a59e6892b9d78153e01a3ecdc47dbc39b00139ca1e72ee,"y,observed,denominator,fips,ts",2024,15 min (states taken as exact UTC hourly snapshots y[4h]),EAGLE-I 2024 release (reuse restrictions: none),"PASS: SHA256SUMS + byte audit (shape, time grid, FIPS order, denominator>0, observed y in [0,1])",Task A target,0 observed=True cells with non-finite y (treated illegal); observed zeros partly from densification rule; fixed 2024 customer denominator applied to earlier years
"ERA5 county driver series (derived, input x)",data/interim/drivers_2024-09-27.npz,https://cds.climate.copernicus.eu (ERA5 single levels; scripts/fetch_era5.py + scripts/build_drivers.py),1861048,88e3eaa754424104447eae4009b46229200e9d2c295340643e0ec54bbacd702c,"X[C,169,12], channels, fips, ts",2024,hourly,Copernicus licence; derived product with attribution,PASS bytes and grid alignment; SEMANTIC DEFECT: 175/445 counties all-zero in all channels and hours,Task A input x,"175 counties have no county-to-grid mapping encoded as zero (excluded, never zero-fed); temporal gaps were interpolated bidirectionally at build time"
26-event panel manifest (digest db286b4960a4),configs/panel_manifest_g3-all-26.json,repository release a0c9966,816,0092056c6c26067aeadfe989c48c6bf885843ff0e75bfd383f4e5a98750066c9,-,-,-,see data/README.md,PASS SHA256SUMS,Task A event list,-
NOAA Storm Events county table,data/interim/storm_events_county.parquet,repository release a0c9966,11633999,89c953fc25256e87c5d00961f13cb952a1cb251eff6813d7c81b43f75275e85f,-,-,-,see data/README.md,PASS SHA256SUMS,not used this round,-
ERA5 county area weights,data/interim/era5_county_weights.parquet,repository release a0c9966,142592,093ab0a0cbdb860c7c23978ec0a362cd877d7425c3cd0fae21dda63e58760433,-,-,-,see data/README.md,PASS SHA256SUMS,not used; the table whose missing FIPS rows cause the driver defect,-
county static covariates,data/interim/county_statics.parquet,repository release a0c9966,266782,c6ca6b2acfb9fb58b9ba6b5d53d2c51eab719a17ff501bc3e92bf8ad142e6003,-,-,-,see data/README.md,PASS SHA256SUMS,not used (no static variables allowed),-
"ANEEL fixed ledger (24 collections, 16 companies)",analysis/asymode_trajectory_r1_20260909/data_resolution/rebuilt_selected_ledgers.npz,derived from ANEEL annual interruption CSV via _package/code/prepare_local_data.py,3508338,bc51d2f326ef3f18b13f0da60523385c9ffbe7b085e661061ef03ed3794e39dc,"g{group}_y{year}_{y,fp,fm,area}",2018;2019,"hourly boundaries (8761 y states, 8760 flux)","ODbL (share-alike, ANEEL attribution)",PASS: bytes and file SHA256 match; 192/192 arrays match f64-LE fingerprints,Task B data,none; 2019 is a reused retrospective evaluation
ANEEL annual interruption archive 2018 (raw),(not in repository),https://dadosabertos.aneel.gov.br/dataset/ccb25653-f07b-4f28-84c2-62a89d1f5a56/resource/8fcce0f2-4ea2-42ea-b7ac-00fd8feab03c/download/interrupcoes-energia-eletrica-2018.zip,193739223,939b6e89d0888c0ed7f891216232fee493a59f4c49b1601e1eff64e995a0c24b,18 columns (metadata/ACTUAL_COLUMNS.json),2018,record-level,ODbL,"NOT FETCHED: not needed, the ledger passed array identity",Task B rebuild source only,-
ANEEL annual interruption archive 2019 (raw),(not in repository),https://dadosabertos.aneel.gov.br/dataset/ccb25653-f07b-4f28-84c2-62a89d1f5a56/resource/965d2abb-91fe-4fab-b463-8c84f2e02188/download/interrupcoes-energia-eletrica-2019.zip,208950261,a55ff4926291a9338cb7dabf36a3b0d44f297a8be7f7885959840102ff8e71bd,18 columns (metadata/ACTUAL_COLUMNS.json),2019,record-level,ODbL,"NOT FETCHED: not needed, the ledger passed array identity",Task B rebuild source only,-
"ANEEL cohort, group map and frozen 2018 denominators",analysis/asymode_trajectory_r1_20260909/_package/ASYMODE_CC_STANDALONE_20260909/metadata/unit_selection.csv,repository aneel-open-data@de406e16,7413,2b7b2cb3eed8aad0169d798272b154fb49a53b3b93b141831449aadeacb0b1dd,-,-,-,ODbL where ANEEL-derived,PASS package SHA256SUMS / git blob,Task B cohort,-
ANEEL 192-array identity reference,analysis/asymode_trajectory_r1_20260909/_package/ASYMODE_CC_STANDALONE_20260909/metadata/LEDGER_REFERENCE.json,repository aneel-open-data@de406e16,30767,264a538d16ef2e464ae1774b8396a51a59df712217508a5e623c1ebcbe22df1b,-,-,-,ODbL where ANEEL-derived,PASS package SHA256SUMS / git blob,Task B identity check,-
R1 stage-1 development trials (2018 only),analysis/asymode_trajectory_r1_20260909/results/STAGE1_TRIALS.csv,repository aneel-open-data@de406e16,12102,7f2917dca2238d1d10afaa4d3fd671055747d0996ebe58978c7d763077aa0a4b,-,2018;2019,-,-,PASS package SHA256SUMS / git blob,Task B table-only selection repair,-
R1 stage-2 development trials (2018 only),analysis/asymode_trajectory_r1_20260909/results/STAGE2_TRIALS.csv,repository aneel-open-data@de406e16,8160,4ce90c4b5fe8b8f774b307766af0f5a3a425d039d1e623a35ced98d3aba3aee2,-,2018;2019,-,-,PASS package SHA256SUMS / git blob,Task B table-only selection repair,-
ANEEL frozen origin hours,analysis/asymode_trajectory_r1_20260909/preflight/origin_hours_L24_H24.npz,repository aneel-open-data@de406e16,44499,d4d7944f8f5dda5208c525696ea0145df869a7728fa837907e3c1725087cb90a,-,2018;2019,-,ODbL where ANEEL-derived,PASS package SHA256SUMS / git blob,Task B origins and counts,-
"audited model core (ResidualMLP, width matching)",analysis/asymode_trajectory_r1_20260909/_package/ASYMODE_CC_STANDALONE_20260909/code/core_models.py,repository aneel-open-data@de406e16,6018,defca0c6f7165a16017f02e2eb645ccdbe913bf2e5f2f694445d71f1364bb0e4,-,-,-,-,PASS package SHA256SUMS / git blob,all tasks: NET/ASYM core,-
ANEEL repaired NET/ASYM final checkpoints (10),(local run 2026-09-09; committed under checkpoints/aneel/ in this round),produced by run_campaign_repaired.py --phase refit_from_lock,-,see SOURCE_COMMITS.json,"state_dict, config, state_scale, source_mean",2018 fit,-,model weights (not a derived database),PASS metadata vs protocol 5.3; replay verification in Task B,Task B evaluation,not on GitHub before this round
Synthetic generator (no external data),analysis/net_asym_neural_era5_20260912/code/synth_generator.py,-,-,-,x scenes 4/8/12h; Y from binomial source-pool mixture,-,"hourly, H=32",-,PASS exact evaluator vs independent Monte Carlo (EXACT_LAW_CALIBRATION.json),Task C,none
