gamma,law,n_per_scene,seed,model,update,val_path_mse,train_loss_ema
0.04,0,32,7204,NET,1250,0.00011643904785722207,0.011229154499138262
0.04,0,32,7204,NET,1500,0.0001158943250533614,0.011335583837561565
0.04,0,32,7204,NET,1750,0.00011892796782456484,0.011202149568832278
0.04,0,32,7204,NET,2000,0.0001365926357202896,0.011533671744213091
0.04,0,32,7204,NET,2250,0.00011977833530293256,0.011241459405055531
0.04,0,32,7204,NET,2500,0.00012360492620292358,0.011181906705413431
0.04,0,128,7204,NET,0,0.010121647219138533,
0.04,0,128,7204,NET,250,0.00011604091135001891,0.020405504741114407
0.04,0,128,7204,NET,500,0.00011630331110215355,0.012061865763302536
0.04,0,128,7204,NET,750,0.00011616877939008188,0.012087709304128256
0.04,0,128,7204,NET,1000,0.00011757257213144458,0.011900303278162024
0.04,0,128,7204,NET,1250,0.00011493844009819202,0.01183774540112944
0.04,0,128,7204,NET,1500,0.00011571578074454303,0.012075688790064196
0.04,0,128,7204,NET,1750,0.00011638783512397145,0.011800017710607213
0.04,0,128,7204,NET,2000,0.00011638068473999561,0.01176592866940467
0.04,0,128,7204,NET,2250,0.00011763276073127687,0.011931455389716189
0.04,0,128,7204,NET,2500,0.00012059835217958805,0.011749862018437779
0.04,0,512,7204,NET,0,0.01012186893026961,
0.04,0,512,7204,NET,250,0.00011573472165491017,0.021251192617527816
0.04,0,512,7204,NET,500,0.00011595002874577219,0.012434227204551836
0.04,0,512,7204,NET,750,0.0001154626819046656,0.012347063974941931
0.04,0,512,7204,NET,1000,0.00011499794307636563,0.012225775911154865
0.04,0,512,7204,NET,1250,0.00011640890072437879,0.012533195004740314
0.04,0,512,7204,NET,1500,0.00011615219816565622,0.012393424589460425
0.04,0,512,7204,NET,1750,0.00011662043515086732,0.012437192797439928
0.04,0,512,7204,NET,2000,0.00011546578872506999,0.012435455051552484
0.04,0,512,7204,NET,2250,0.00011628768655107078,0.012287636045492031
0.04,0,512,7204,NET,2500,0.00011683427972488498,0.012478607701891478
0.04,1,32,7204,NET,0,0.010417713408222425,
0.04,1,32,7204,NET,250,0.0004078485709805944,0.04196392987076705
0.04,1,32,7204,NET,500,0.0004104483192653612,0.0325649300848429
0.04,1,32,7204,NET,750,0.00041203753374130227,0.033041607481262905
0.04,1,32,7204,NET,1000,0.00041218948830499576,0.0325383604445185
0.04,1,32,7204,NET,1250,0.0004125186543774543,0.03211459336832112
0.04,1,32,7204,NET,1500,0.00041046208391623047,0.03331206697654101
0.04,1,32,7204,NET,1750,0.0004103752035719398,0.033412202568838846
0.04,1,32,7204,NET,2000,0.0004202453309585148,0.03245939712761305
0.04,1,32,7204,NET,2250,0.0004063443075385486,0.03345471635481092
0.04,1,32,7204,NET,2500,0.00041476819573886336,0.03310848258494817
0.04,1,128,7204,NET,0,0.010416500369758974,
0.04,1,128,7204,NET,250,0.00040739710950415405,0.04442608371552906
0.04,1,128,7204,NET,500,0.00040379946074638705,0.035769337044099445
0.04,1,128,7204,NET,750,0.0004039555220673452,0.03483266152985497
0.04,1,128,7204,NET,1000,0.0004066941968271451,0.036348132988599534
0.04,1,128,7204,NET,1250,0.00042185238961867474,0.035515732193419546
0.04,1,128,7204,NET,1500,0.0003992994041561875,0.03503936699241442
0.04,1,128,7204,NET,1750,0.00040349679801909686,0.034408002705656096
0.04,1,128,7204,NET,2000,0.0004197478572004573,0.035704967626148165
0.04,1,128,7204,NET,2250,0.0004024443810481536,0.03662732703280353
0.04,1,128,7204,NET,2500,0.0004022206859267535,0.03518130663586575
0.04,1,512,7204,NET,0,0.010416467035598198,
0.04,1,512,7204,NET,250,0.00040161070304465087,0.04651996126363009
0.04,1,512,7204,NET,500,0.00039996944268231937,0.03701766609214901
0.04,1,512,7204,NET,750,0.0004047379047012295,0.03711523226217222
0.04,1,512,7204,NET,1000,0.0004090251594813875,0.03756414838996077
0.04,1,512,7204,NET,1250,0.00040319468202540615,0.03799280441747164
0.04,1,512,7204,NET,1500,0.0003988465684764011,0.03626051829055142
0.04,1,512,7204,NET,1750,0.0004000034945235446,0.036170552323924195
0.04,1,512,7204,NET,2000,0.0003998042706714745,0.036968503730136514
0.04,1,512,7204,NET,2250,0.0003997074502475716,0.036975353443789945
0.04,1,512,7204,NET,2500,0.000400704951335454,0.036580809783499695
0.04,2,32,7204,NET,0,0.013386569302926093,
0.04,2,32,7204,NET,250,0.003595907965355036,0.25539475476720863
0.04,2,32,7204,NET,500,0.003639663837995927,0.2477764160161724
0.04,2,32,7204,NET,750,0.0036387762116269866,0.2485428092495694
0.04,2,32,7204,NET,1000,0.0036352376671032645,0.24916080322293283
0.04,2,32,7204,NET,1250,0.003596844532669152,0.24791580929651896
0.04,2,32,7204,NET,1500,0.003618445732554409,0.24752102304144116
0.04,2,32,7204,NET,1750,0.0036572438795440827,0.2468851185999843
0.04,2,32,7204,NET,2000,0.0036532593770814466,0.24561905736071332
0.04,2,32,7204,NET,2250,0.0036397455681772867,0.24781510350636174
0.04,2,32,7204,NET,2500,0.0036778422724127254,0.24553893510765396
0.04,2,128,7204,NET,0,0.013384195473931812,
0.04,2,128,7204,NET,250,0.003560557704092126,0.2713902993825278
0.04,2,128,7204,NET,500,0.0035468406803158756,0.2647580558812492
0.04,2,128,7204,NET,750,0.0035588658985964937,0.2662711872056387
0.04,2,128,7204,NET,1000,0.003529732679139466,0.2635379548899776
0.04,2,128,7204,NET,1250,0.003546457590587342,0.26309199751581336
0.04,2,128,7204,NET,1500,0.0035801546682191518,0.26143354754757975
0.04,2,128,7204,NET,1750,0.003538085924861161,0.2628183933153241
0.04,2,128,7204,NET,2000,0.003538104876010764,0.2635595592024112
0.04,2,128,7204,NET,2250,0.0035415607397550294,0.2627031780529235
0.04,2,128,7204,NET,2500,0.003526658046571591,0.26262690178434195
0.04,2,512,7204,NET,0,0.013384040557206668,
0.04,2,512,7204,NET,250,0.003549698169039642,0.26640732314160476
0.04,2,512,7204,NET,500,0.003559493419062915,0.26353245198997843
0.04,2,512,7204,NET,750,0.0035457030239352053,0.25996768480894195
0.04,2,512,7204,NET,1000,0.003530984880235162,0.2600414530238803
0.04,2,512,7204,NET,1250,0.00355270721054836,0.2584378906328454
0.04,2,512,7204,NET,1500,0.0035878197910272458,0.25919367680723154
0.04,2,512,7204,NET,1750,0.0035339150072257637,0.2592255499265295
0.04,2,512,7204,NET,2000,0.0035546538261819675,0.2597438915981758
0.04,2,512,7204,NET,2250,0.0035314820727928922,0.2591960200442691
0.04,2,512,7204,NET,2500,0.0035545962648894994,0.26019661464731497
0.0,0,128,7204,NET,0,0.009457699975452814,
0.0,0,128,7204,NET,250,0.00011479693742339461,0.019963462769900082
0.0,0,128,7204,NET,500,0.00013231443464629727,0.011018694114877667
0.0,0,128,7204,NET,750,0.00011529157151812101,0.010770723323379127
0.0,0,128,7204,NET,1000,0.00011817541837735586,0.010925441652750011
0.0,0,128,7204,NET,1250,0.00011111755263240083,0.010911777743547917
0.0,0,128,7204,NET,1500,0.0001111605715321414,0.010896258597859816
0.0,0,128,7204,NET,1750,0.00011196781252500948,0.01080678938561177
0.0,0,128,7204,NET,2000,0.00011309046843851094,0.010702291214446049
0.0,0,128,7204,NET,2250,0.00011450083546960469,0.010670748047591763
0.0,0,128,7204,NET,2500,0.00011151989357604358,0.010741312627818248
0.0,1,128,7204,NET,0,0.009779941108121722,
0.0,1,128,7204,NET,250,0.0003830115431265022,0.052253731341546435
0.0,1,128,7204,NET,500,0.0003815155590214207,0.044014208211528974
0.0,1,128,7204,NET,750,0.00038905489357436994,0.04400231240796253
0.0,1,128,7204,NET,1000,0.00038352081689194763,0.04321065203467162
0.0,1,128,7204,NET,1250,0.00038359025266681846,0.04411644372720632
0.0,1,128,7204,NET,1500,0.00037907875922734146,0.044481914058616824
0.0,1,128,7204,NET,1750,0.0003874604441238621,0.043811321100557764
0.0,1,128,7204,NET,2000,0.00038113516718910837,0.04377773465786823
0.0,1,128,7204,NET,2250,0.0003960724007822624,0.044879002834667524
0.0,1,128,7204,NET,2500,0.00037892877628160774,0.044752778352262934
0.0,2,128,7204,NET,0,0.012834499568124158,
0.0,2,128,7204,NET,250,0.003499645839867194,0.2910640158285993
0.0,2,128,7204,NET,500,0.00345505182770196,0.2854879127608529
0.0,2,128,7204,NET,750,0.003460976800941946,0.2830400799618163
0.0,2,128,7204,NET,1000,0.0034542216823586856,0.2834616083928947
0.0,2,128,7204,NET,1250,0.003460014769294048,0.2854710726184393
0.0,2,128,7204,NET,1500,0.003465475368327322,0.28363645221679273
0.0,2,128,7204,NET,1750,0.0034830180911621677,0.28370180374934173
0.0,2,128,7204,NET,2000,0.003462490218231088,0.28455469449083864
0.0,2,128,7204,NET,2250,0.0034608294444674168,0.2848020977287778
0.0,2,128,7204,NET,2500,0.0034598436279563573,0.28171025682063444
0.04,0,32,7205,NET,0,0.009902179560001372,
0.04,0,32,7205,NET,250,0.00012416817865410195,0.02038658515302758
0.04,0,32,7205,NET,500,0.00012492734776713905,0.012063795439013472
0.04,0,32,7205,NET,750,0.00012364944998106934,0.012094239167400551
0.04,0,32,7205,NET,1000,0.00013880337128319815,0.013321685544674213
0.04,0,32,7205,NET,1250,0.0001231105801002173,0.011912707035692948
0.04,0,32,7205,NET,1500,0.000124406927723834,0.011921469536380925
0.04,0,32,7205,NET,1750,0.00012202343604383555,0.011889020937339435
0.04,0,32,7205,NET,2000,0.00013296175296118897,0.0121403229729156
0.04,0,32,7205,NET,2250,0.00012638860246220475,0.011962449950593848
0.04,0,32,7205,NET,2500,0.0001213017964768038,0.011965602728088082
0.04,0,128,7205,NET,0,0.009902763798101727,
0.04,0,128,7205,NET,250,0.0001221532142922703,0.02077345713137969
0.04,0,128,7205,NET,500,0.00012181727891796993,0.0122969433863292
0.04,0,128,7205,NET,750,0.00012204891816496566,0.012027462149249667
0.04,0,128,7205,NET,1000,0.00012201976808790055,0.011847105491494436
0.04,0,128,7205,NET,1250,0.00012743013765003516,0.011856725520567707
0.04,0,128,7205,NET,1500,0.00012186211666138944,0.012106215242611826
0.04,0,128,7205,NET,1750,0.00012152569407432177,0.012028101050779387
0.04,0,128,7205,NET,2000,0.0001234107652684655,0.012082588668451667
0.04,0,128,7205,NET,2250,0.00012600606586684297,0.01208210606420836
0.04,0,128,7205,NET,2500,0.00012162638135379376,0.01205306783814476
0.04,0,512,7205,NET,0,0.009902570228863672,
0.04,0,512,7205,NET,250,0.00013449689021597852,0.021337305950410217
0.04,0,512,7205,NET,500,0.00012263959306849502,0.013555704276591673
0.04,0,512,7205,NET,750,0.00012341853639052976,0.012913274563482171
0.04,0,512,7205,NET,1000,0.00012502032847657146,0.012964628843186835
0.04,0,512,7205,NET,1250,0.00013026558834277021,0.013214718805330117
0.04,0,512,7205,NET,1500,0.00012126845123810917,0.013031833849837696
0.04,0,512,7205,NET,1750,0.00012081951492900381,0.013354479052313812
0.04,0,512,7205,NET,2000,0.00012076272639423334,0.013306870578542539
0.04,0,512,7205,NET,2250,0.00012430531502751984,0.012952482937250038
0.04,0,512,7205,NET,2500,0.00012425217983849806,0.012721555707247461
0.04,1,32,7205,NET,0,0.010202810990860714,
0.04,1,32,7205,NET,250,0.00044258188098833377,0.04559662283987594
0.04,1,32,7205,NET,500,0.00046029675737926755,0.03738363241444174
0.04,1,32,7205,NET,750,0.00046475591378925576,0.03620429799981805
0.04,1,32,7205,NET,1000,0.0004439649836300679,0.03628482000620601
0.04,1,32,7205,NET,1250,0.00044346686093570375,0.03651346442158804
0.04,1,32,7205,NET,1500,0.0004451092504412127,0.036182428346112044
0.04,1,32,7205,NET,1750,0.0004498989516139678,0.03698561089233285
0.04,1,32,7205,NET,2000,0.0004433919693516094,0.03605711765034247
0.04,1,32,7205,NET,2250,0.0004532953256510697,0.03664752546480357
0.04,1,32,7205,NET,2500,0.00044368110608860337,0.036184974741252866
0.04,1,128,7205,NET,0,0.010202867191875499,
0.04,1,128,7205,NET,250,0.0004434958134428509,0.04568802609166222
0.04,1,128,7205,NET,500,0.0004406310884927213,0.0378355617607968
0.04,1,128,7205,NET,750,0.0004409107490632935,0.03797570709873267
0.04,1,128,7205,NET,1000,0.0004452958470246209,0.03764871985118744
0.04,1,128,7205,NET,1250,0.0004475844622877135,0.03685471900412931
0.04,1,128,7205,NET,1500,0.0004452104265955756,0.03696067826765747
0.04,1,128,7205,NET,1750,0.0004451271628467727,0.03749930204307688
0.04,1,128,7205,NET,2000,0.0004419046838482978,0.03789651999120733
0.04,1,128,7205,NET,2250,0.00044075316301298945,0.03765352294863607
0.04,1,128,7205,NET,2500,0.00044345372275684776,0.03894565922347305
0.04,1,512,7205,NET,0,0.010202975238404218,
0.04,1,512,7205,NET,250,0.0004405357879009803,0.05000771673429515
0.04,1,512,7205,NET,500,0.00044654976089574276,0.04089411515129063
0.04,1,512,7205,NET,750,0.0004387002884463811,0.04183844720417584
0.04,1,512,7205,NET,1000,0.00043821093825489155,0.041866832541651314
0.04,1,512,7205,NET,1250,0.00044521771440834534,0.04145286451572599
0.04,1,512,7205,NET,1500,0.0004431098557785685,0.04074193888510312
0.04,1,512,7205,NET,1750,0.00044227869668815877,0.04064797328595561
0.04,1,512,7205,NET,2000,0.00044059766405419454,0.04177326937706336
0.04,1,512,7205,NET,2250,0.00044064650516171714,0.04201087922876837
0.04,1,512,7205,NET,2500,0.0004428654971126633,0.040962754339062935
0.04,2,32,7205,NET,0,0.013198572877069754,
0.04,2,32,7205,NET,250,0.0037407252727350766,0.2614307214054018
0.04,2,32,7205,NET,500,0.003746179982474404,0.25403210186110575
0.04,2,32,7205,NET,750,0.0037501841972846523,0.2540694230701633
0.04,2,32,7205,NET,1000,0.003722377284528532,0.25326613464466613
0.04,2,32,7205,NET,1250,0.0037055515055576475,0.2531769638114478
0.04,2,32,7205,NET,1500,0.003713905185790883,0.25527511856223994
0.04,2,32,7205,NET,1750,0.003727334718087446,0.25196780709916866
0.04,2,32,7205,NET,2000,0.003721131953460679,0.25309293320809634
0.04,2,32,7205,NET,2250,0.0037102452517337164,0.254132085005972
0.04,2,32,7205,NET,2500,0.003726489713192898,0.25375966698415453
0.04,2,128,7205,NET,0,0.013196389323355553,
0.04,2,128,7205,NET,250,0.003600358892315,0.2754858846402917
0.04,2,128,7205,NET,500,0.0035736430201650884,0.2696111070698716
0.04,2,128,7205,NET,750,0.00358350304205588,0.26932440754559395
0.04,2,128,7205,NET,1000,0.003557333258064822,0.2678895066857177
0.04,2,128,7205,NET,1250,0.0035615135538127098,0.26733043127023
0.04,2,128,7205,NET,1500,0.0035538285952025606,0.2689822663212947
0.04,2,128,7205,NET,1750,0.0035564594377044587,0.26702820586582166
0.04,2,128,7205,NET,2000,0.0035669124286784016,0.2678713315438002
0.04,2,128,7205,NET,2250,0.0035500112187436595,0.2683317161653757
0.04,2,128,7205,NET,2500,0.0035521983855203733,0.2689001517333566
0.04,2,512,7205,NET,0,0.01319874097904516,
0.04,2,512,7205,NET,250,0.0035519131230797667,0.27961230530773407
0.04,2,512,7205,NET,500,0.0036289919774817256,0.2746930686292358
0.04,2,512,7205,NET,750,0.003550359045283584,0.2705410947160934
0.04,2,512,7205,NET,1000,0.003562498239822303,0.2740348478412028
0.04,2,512,7205,NET,1250,0.0035453846898743802,0.273298571839284
0.04,2,512,7205,NET,1500,0.0035475612002916564,0.2758303166237594
0.04,2,512,7205,NET,1750,0.0035412799585833447,0.27347891236200983
0.04,2,512,7205,NET,2000,0.003547748462364872,0.27375311316795903
0.04,2,512,7205,NET,2250,0.003553799891008493,0.27203264442576447
0.04,2,512,7205,NET,2500,0.003549782190101755,0.27346142773099724
0.0,0,128,7205,NET,0,0.009379840965556628,
0.0,0,128,7205,NET,250,0.0001301049615893271,0.023433390922900196
0.0,0,128,7205,NET,500,0.00011284841578074551,0.015001215712495321
0.0,0,128,7205,NET,750,0.00011402081184410306,0.014973661763345584
0.0,0,128,7205,NET,1000,0.00011318226009297437,0.015380716176816259
0.0,0,128,7205,NET,1250,0.00011328071463140273,0.015139485007715375
0.0,0,128,7205,NET,1500,0.0001308380483278518,0.014905775819644924
0.0,0,128,7205,NET,1750,0.00011198387983980635,0.014747881034114112
0.0,0,128,7205,NET,2000,0.0001115088548339357,0.015084477006469966
0.0,0,128,7205,NET,2250,0.00011133380384379136,0.01450619811812513
0.0,0,128,7205,NET,2500,0.00011423399813959203,0.014526050192027082
0.0,1,128,7205,NET,0,0.009475895517205242,
0.0,1,128,7205,NET,250,0.00032785130104699835,0.055700487693058444
0.0,1,128,7205,NET,500,0.00031907585748049903,0.04651838776561736
0.0,1,128,7205,NET,750,0.00032822378193945377,0.04791162934667991
0.0,1,128,7205,NET,1000,0.0003308848834037632,0.048859312338725494
0.0,1,128,7205,NET,1250,0.00032290836244831025,0.046939785221675245
0.0,1,128,7205,NET,1500,0.00032276633363261133,0.0471977388788864
0.0,1,128,7205,NET,1750,0.0003190832326099755,0.04721201120164178
0.0,1,128,7205,NET,2000,0.00034553719893200594,0.047746419243375436
0.0,1,128,7205,NET,2250,0.0003191098149042586,0.04765037738362141
0.0,1,128,7205,NET,2500,0.0003202753446250952,0.04797966610329963
0.0,2,128,7205,NET,0,0.012116289223694912,
0.0,2,128,7205,NET,250,0.0031802622280421577,0.26155485416304325
0.0,2,128,7205,NET,500,0.0031771208427975642,0.2540699455714777
0.0,2,128,7205,NET,750,0.0031833206891818586,0.2547831190281859
0.0,2,128,7205,NET,1000,0.0031767210790190925,0.25616833639712194
0.0,2,128,7205,NET,1250,0.003183507519510949,0.25616035861016523
0.0,2,128,7205,NET,1500,0.0032071481003549452,0.2564258679121742
0.0,2,128,7205,NET,1750,0.003180034525928448,0.2558028583428924
0.0,2,128,7205,NET,2000,0.003186553290831503,0.2553964577372535
0.0,2,128,7205,NET,2250,0.0031884020533223486,0.25387990304843616
0.0,2,128,7205,NET,2500,0.003179701517277102,0.254306473779782
0.04,0,32,7201,ASYM,0,0.008346497121437245,
0.04,0,32,7201,ASYM,250,0.00014155772132399495,0.021551893113020967
0.04,0,32,7201,ASYM,500,0.0001436543596058525,0.013884730425960098
0.04,0,32,7201,ASYM,750,0.00011754656721976487,0.013150745972081969
0.04,0,32,7201,ASYM,1000,0.00012405566226301892,0.013269164936777343
0.04,0,32,7201,ASYM,1250,0.0001293041669083519,0.01309304013951451
0.04,0,32,7201,ASYM,1500,0.00011677667905435476,0.013126337825207272
0.04,0,32,7201,ASYM,1750,0.0001251843834187194,0.013099124565503623
0.04,0,32,7201,ASYM,2000,0.00012032778254595419,0.013147585298256347
0.04,0,128,7201,ASYM,0,0.00834765297077379,
0.04,0,128,7201,ASYM,250,0.00012427673071858743,0.020479053876273884
0.04,0,128,7201,ASYM,500,0.00014129756427134243,0.012259745388031608
0.04,0,128,7201,ASYM,750,0.00012167432695097904,0.012081593387107178
0.04,0,128,7201,ASYM,1000,0.00012946759128205636,0.012150292089213133
0.04,0,128,7201,ASYM,1250,0.00011675708909071243,0.011979687310356745
0.04,0,128,7201,ASYM,1500,0.00011822624609734404,0.012002479536683087
0.04,0,128,7201,ASYM,1750,0.00011732424116734119,0.01194489750755053
0.04,0,128,7201,ASYM,2000,0.00011623583996977717,0.011889025983862773
0.04,0,512,7201,ASYM,0,0.008349478951408628,
0.04,0,512,7201,ASYM,250,0.00011990689088430993,0.021286108410474593
0.04,0,512,7201,ASYM,500,0.00011736074413149296,0.012256694969737749
0.04,0,512,7201,ASYM,750,0.0001186812804489206,0.012004686033004955
0.04,0,512,7201,ASYM,1000,0.0001159919450120285,0.011723305195613806
0.04,0,512,7201,ASYM,1250,0.00011996651773400295,0.011973857267278133
0.04,0,512,7201,ASYM,1500,0.00011729935215761991,0.011773207521577565
0.04,0,512,7201,ASYM,1750,0.00011578992843644873,0.01191930922730459
0.04,0,512,7201,ASYM,2000,0.00011651164219523874,0.011907264239984899
0.04,1,32,7201,ASYM,0,0.008514306216252288,
0.04,1,32,7201,ASYM,250,0.00040509686637111897,0.040988436230605885
0.04,1,32,7201,ASYM,500,0.0004032620384454942,0.034355100522639404
0.04,1,32,7201,ASYM,750,0.00040565282389604866,0.03359123287414922
0.04,1,32,7201,ASYM,1000,0.00040495928355046965,0.03328748593758786
0.04,1,32,7201,ASYM,1250,0.00040454317654875564,0.033074795044030394
0.04,1,32,7201,ASYM,1500,0.00042275140381954667,0.03362811589653277
0.04,1,32,7201,ASYM,1750,0.0004032946191987907,0.03277076351933516
0.04,1,32,7201,ASYM,2000,0.000405716529768788,0.033430117327680954
0.04,1,128,7201,ASYM,0,0.008511903597037742,
0.04,1,128,7201,ASYM,250,0.00039539741343966984,0.04940171598619503
0.04,1,128,7201,ASYM,500,0.0004291871247661077,0.0407634765008679
0.04,1,128,7201,ASYM,750,0.0003955764366647922,0.039371422701619904
0.04,1,128,7201,ASYM,1000,0.00040028519719399915,0.04130379840473729
0.04,1,128,7201,ASYM,1250,0.0004025466633482421,0.04043084990945592
0.04,1,128,7201,ASYM,1500,0.0003933026967439227,0.04095401674595191
0.04,1,128,7201,ASYM,1750,0.00039732670364747816,0.04115824455421362
0.04,1,128,7201,ASYM,2000,0.0003942985617775962,0.04008418098992084
0.04,1,512,7201,ASYM,0,0.008512269071716318,
0.04,1,512,7201,ASYM,250,0.000396303285340927,0.05040559547251948
0.04,1,512,7201,ASYM,500,0.00039995475449398086,0.040825736260826265
0.04,1,512,7201,ASYM,750,0.0003952522914810672,0.04064627363963037
0.04,1,512,7201,ASYM,1000,0.0003986294337043536,0.040917184622613026
0.04,1,512,7201,ASYM,1250,0.0003940589443011404,0.04112604572119994
0.04,1,512,7201,ASYM,1500,0.00039287136110334724,0.04093916215701431
0.04,1,512,7201,ASYM,1750,0.00039478641363236864,0.04120543987820894
0.04,1,512,7201,ASYM,2000,0.000392728843733811,0.04096258141828763
0.04,2,32,7201,ASYM,0,0.011446322166913122,
0.04,2,32,7201,ASYM,250,0.0035885980064152153,0.23335202818075765
0.04,2,32,7201,ASYM,500,0.0035186316019365873,0.22480831519516872
0.04,2,32,7201,ASYM,750,0.0035320008197617958,0.2263385893673176
0.04,2,32,7201,ASYM,1000,0.003522526921255002,0.22541893452272796
0.04,2,32,7201,ASYM,1250,0.0035000759352387845,0.2281259206556053
0.04,2,32,7201,ASYM,1500,0.0035623850659352416,0.22694791792975985
0.04,2,32,7201,ASYM,1750,0.0035583467403310248,0.22543436358429636
0.04,2,32,7201,ASYM,2000,0.003503716583740953,0.2263550596494167
0.04,2,128,7201,ASYM,0,0.011444652288999234,
0.04,2,128,7201,ASYM,250,0.0034888170819800633,0.26686839820468977
0.04,2,128,7201,ASYM,500,0.003549132584867698,0.25696627131687144
0.04,2,128,7201,ASYM,750,0.003503756174173545,0.25879810074005793
0.04,2,128,7201,ASYM,1000,0.003550287168439656,0.25849768347089347
0.04,2,128,7201,ASYM,1250,0.003475517274722,0.25788938410809437
0.04,2,128,7201,ASYM,1500,0.003502968160925828,0.2580576701159642
0.04,2,128,7201,ASYM,1750,0.00347017810187749,0.26045753298395924
0.04,2,128,7201,ASYM,2000,0.003493683284077303,0.25675266535228536
0.04,2,512,7201,ASYM,0,0.011450180363021839,
0.04,2,512,7201,ASYM,250,0.0034730510798476537,0.2737730675018567
0.04,2,512,7201,ASYM,500,0.0034837395337737748,0.2691826850083713
0.04,2,512,7201,ASYM,750,0.0034908336319401105,0.26766806646936964
0.04,2,512,7201,ASYM,1000,0.003484299737718176,0.26781146341984086
0.04,2,512,7201,ASYM,1250,0.003475008286312382,0.270442557082985
0.04,2,512,7201,ASYM,1500,0.003467558720264899,0.26954511197578257
0.04,2,512,7201,ASYM,1750,0.003492958374830902,0.26836880707604654
0.04,2,512,7201,ASYM,2000,0.0034667458788079247,0.26856165721963904
0.0,0,128,7201,ASYM,0,0.007982665261754599,
0.0,0,128,7201,ASYM,250,0.0001239990230877819,0.019888373003468438
0.0,0,128,7201,ASYM,500,0.00011577568414408966,0.012074368264846397
0.0,0,128,7201,ASYM,750,0.00011523334345612126,0.011857923519617676
0.0,0,128,7201,ASYM,1000,0.00011524989496224944,0.011867480976179347
0.0,0,128,7201,ASYM,1250,0.00011416924443122968,0.011818239289856538
0.0,0,128,7201,ASYM,1500,0.00011436982096060969,0.011767689478730376
0.0,0,128,7201,ASYM,1750,0.00011592725161792051,0.011831770996695487
0.0,0,128,7201,ASYM,2000,0.00011834723388132813,0.011898626070664164
0.0,1,128,7201,ASYM,0,0.00810655124562605,
0.0,1,128,7201,ASYM,250,0.00040440783166855793,0.03943662021364708
0.0,1,128,7201,ASYM,500,0.00038839109238208297,0.031200123647617563
0.0,1,128,7201,ASYM,750,0.0003856820414874203,0.03080109871902073
0.0,1,128,7201,ASYM,1000,0.0003867411177934539,0.031124125956231798
0.0,1,128,7201,ASYM,1250,0.00038514907022409807,0.029822551664420282
0.0,1,128,7201,ASYM,1500,0.0003884539406881946,0.030694492649189917
0.0,1,128,7201,ASYM,1750,0.0003886368881871926,0.030737971040043038
0.0,1,128,7201,ASYM,2000,0.00039983306897645827,0.030814089657942263
0.0,2,128,7201,ASYM,0,0.011123478061645606,
0.0,2,128,7201,ASYM,250,0.003340292004654846,0.273429771243078
0.0,2,128,7201,ASYM,500,0.003337754221167121,0.26640982039099903
0.0,2,128,7201,ASYM,750,0.003348576266284461,0.2651474545542016
0.0,2,128,7201,ASYM,1000,0.003346174743522171,0.2664165236266865
0.0,2,128,7201,ASYM,1250,0.003381937841946098,0.2666140548613898
0.0,2,128,7201,ASYM,1500,0.003338954059385411,0.26552988486892243
0.0,2,128,7201,ASYM,1750,0.0033508731131025892,0.2663451063537411
0.0,2,128,7201,ASYM,2000,0.003376966103709869,0.26618272959682066
0.04,0,32,7202,ASYM,0,0.008354225274149162,
0.04,0,32,7202,ASYM,250,0.00012222672999017195,0.02311991289009563
0.04,0,32,7202,ASYM,500,0.00013417839758539052,0.01195189356555487
0.04,0,32,7202,ASYM,750,0.00012588965829814466,0.011681338558756579
0.04,0,32,7202,ASYM,1000,0.00011825003096524986,0.011580827060488116
0.04,0,32,7202,ASYM,1250,0.00011853595092040693,0.011563217025305467
0.04,0,32,7202,ASYM,1500,0.00011965207884798147,0.011475658553565958
0.04,0,32,7202,ASYM,1750,0.00012016134744422388,0.011613446977153954
0.04,0,32,7202,ASYM,2000,0.0001190516238616166,0.011364726169558909
0.04,0,128,7202,ASYM,0,0.008353264181514268,
0.04,0,128,7202,ASYM,250,0.00012451128075366367,0.02240145768481166
0.04,0,128,7202,ASYM,500,0.00012197536041082191,0.01343595507608194
0.04,0,128,7202,ASYM,750,0.00012402662780804864,0.01333030534692753
0.04,0,128,7202,ASYM,1000,0.000118875185149903,0.013001159195565083
0.04,0,128,7202,ASYM,1250,0.00011763549536978116,0.012863490565557075
0.04,0,128,7202,ASYM,1500,0.00011824998028824474,0.012980804969056035
0.04,0,128,7202,ASYM,1750,0.00011827907442941548,0.012769446790468097
0.04,0,128,7202,ASYM,2000,0.00011688632396482927,0.012828556770937149
0.04,0,512,7202,ASYM,0,0.008352892792535765,
0.04,0,512,7202,ASYM,250,0.0001196835919843855,0.02306999303689645
0.04,0,512,7202,ASYM,500,0.00012406822751636338,0.012568444488501312
0.04,0,512,7202,ASYM,750,0.00012011649692475984,0.012527291660970706
0.04,0,512,7202,ASYM,1000,0.0001195410704260539,0.012055504263440516
0.04,0,512,7202,ASYM,1250,0.00011810077544642784,0.01224307065910403
0.04,0,512,7202,ASYM,1500,0.00011972222651592868,0.01201054597497512
0.04,0,512,7202,ASYM,1750,0.00011700140414391289,0.01209750235886616
0.04,0,512,7202,ASYM,2000,0.00011827901769322416,0.012080263588520474
0.04,1,32,7202,ASYM,0,0.00866956561904145,
0.04,1,32,7202,ASYM,250,0.00040213759403652885,0.05495180085144343
